ProductID,SKU,ProductName,Category,SubCategory,Brand,UnitPrice,CostPrice,LaunchDate,DiscontinuedFlag,Color,Size,WeightKg,PackageDimensions,Rating,StockStatus
1,SKU-P31310,Eco Bottle,Home & Kitchen,Kids,ActiveX,1842.05,1510.49,2020-02-15T21:40:29,False,Red,XXL,11.5,65.2x5.3x26.6 cm,3.73,Out of Stock
2,SKU-B26748,Eco Mixer,Sports,Standard,CartPro,2497.5,1075.66,2018-03-24T21:11:44,False,Green,,22.48,49.1x77.3x22.3 cm,4.06,Out of Stock
3,SKU-D62418,Max Watch,Fashion,Premium,HomeSense,731.09,365.59,"May 09, 2018",False,Blue,,5.96,33.5x68.2x12.4 cm,2.72,Out of Stock
4,SKU-I89214,Pro Shoes,Grocery,Kids,GeoBasics,1078.62,831.13,"May 18, 2018",False,Green,M,1.83,16.1x42.7x4.5 cm,4.35,Out of Stock
5,SKU-T94028,Eco Bottle,Grocery,Budget,HomeSense,1756.0,1244.45,2024-06-16,False,Red,M,14.97,10.7x66.7x31.2 cm,3.91,In Stock
6,SKU-G27476,Max Shoes,Beauty,Standard,HomeSense,1776.02,1137.45,"May 27, 2020",False,White,XXL,13.17,46.9x52.0x18.4 cm,3.38,Low Stock
7,SKU-T75677,Smart Headphones,Fashion,Office,CartPro,570.62,380.07,"Jan 04, 2023",False,Blue,M,18.5,38.2x52.9x14.0 cm,2.09,In Stock
8,SKU-V16943,Pro Phone,Home & Kitchen,Outdoor,GeoBasics,1056.05,494.94,06/02/2020,False,Green,XL,19.86,63.5x21.1x11.2 cm,2.09,Out of Stock
9,SKU-B67407,Pro Watch,Beauty,Premium,UrbanEdge,839.13,581.09,2024-12-27,False,Pink,L,20.0,40.7x62.0x2.3 cm,2.22,In Stock
2653,SKU-W97949,lite headphones,Beauty,Office,UrbanEdge,821.74,446.14,"Jun 26, 2024",False,Grey,,6.37,65.2x11.7x24.4 cm,2.84,Out of Stock
11,SKU-D67533,Ultra shoes,Sports,Kids,GeoBasics,2703.94,2293.98,"Feb 14, 2022",False,Grey,XXL,7.69,75.2x10.9x25.9 cm,3.85,Out of Stock
3359,SKU-I60125,Pro Shoes,Electronics,Outdoor,HomeSense,836.21,611.84,2022-06-10 12:51:56,False,Blue,M,12.76,52.8x75.0x36.8 cm,4.47,Low Stock
13,SKU-L45367,Lite bottle,Fashion,Kids,PrimeLine,474.22,392.33,2023-06-14,False,Grey,XXL,13.31,52.6x38.2x27.5 cm,2.08,Low Stock
14,SKU-N94221,Eco Shoes,Grocery,Premium,UrbanEdge,943.96,477.14,"Dec 16, 2021",False,Red,S,14.14,78.9x8.0x11.7 cm,3.94,Low Stock
15,SKU-W75695,Smart Backpack,Beauty,Office,HomeSense,1271.88,700.42,2024-09-24 13:10:36,False,Red,XS,1.74,36.0x74.4x31.0 cm,3.14,Low Stock
16,SKU-A89454,Lite Phone,Electronics,Kids,GeoBasics,2076.49,887.03,21/05/2025,False,Green,M,10142.262556628466,45.7x44.6x4.8 cm,3.82,Out of Stock
